edge,persistence_obs,p_emp,zscore,qval
"('DNAJC6', 'LRRK2')",1,0.9041916167664671,-0.7656007912693186,1.0
"('ATP13A2', 'SYNJ1')",6,0.0499001996007984,2.0633106086857786,0.5658682634730539
"('LRRK2', 'PINK1')",6,0.001996007984031936,9.267640449584084,0.06986027944111776
"('ATP13A2', 'EIF4G1')",6,0.05389221556886228,1.9719907267329273,0.5658682634730539
"('EIF4G1', 'LRRK2')",0,1.0,-1.581748350831112,1.0
"('SNCA', 'VPS35')",5,0.4311377245508982,0.6879734630300667,0.984118719083572
"('EIF4G1', 'PRKN')",0,1.0,-1.8637409539056218,1.0
"('PLA2G6', 'SNCA')",0,1.0,-3.116420366343862,1.0
"('HTRA2', 'PINK1')",0,1.0,-1.294659051367131,1.0
"('DNAJC6', 'FBXO7')",1,0.9021956087824351,-0.7727442710618951,1.0
"('FBXO7', 'GIGYF2')",0,1.0,-1.5336532139564285,1.0
"('GIGYF2', 'PINK1')",0,1.0,-1.270750132759699,1.0
"('DNAJC13', 'SYNJ1')",6,0.22954091816367264,1.3167397826534946,0.6636726546906188
"('DNAJC13', 'EIF4G1')",6,0.23952095808383234,1.317168293031688,0.6636726546906188
"('LRRK2', 'VPS35')",0,1.0,-1.666977834156716,1.0
"('GBA', 'PINK1')",2,0.09580838323353294,1.9424407909046755,0.584620233217775
"('LRRK2', 'PRKN')",0,1.0,-1.1119729575942248,1.0
"('HTRA2', 'PLA2G6')",6,0.11776447105788423,1.6419817186659602,0.5888223552894212
"('GIGYF2', 'VPS35')",6,0.21756487025948104,1.3560608111356545,0.6636726546906188
