,timepoint,nodes,edges,density,avg_degree,avg_clustering,components,transitivity,assortativity,avg_degree_centrality,avg_betweenness,avg_closeness,top_node_by_degree,top_node_by_betweenness,top_node_by_closeness,diameter,avg_shortest_path_length,delta_edges,delta_density,delta_avg_degree,delta_avg_clustering,delta_avg_degree_centrality,delta_avg_betweenness,delta_avg_closeness
0,20-29,15,41,0.3904761904761905,5.466666666666667,0.5701058201058201,1,0.646551724137931,0.19468887492143302,0.3904761904761905,0.073992673992674,0.5363864084216976,HTRA2,DNAJC6,DNAJC6,4,1.9619047619047618,0,0.0,0.0,0.0,0.0,0.0,0.0
1,30-39,15,44,0.41904761904761906,5.866666666666666,0.567936507936508,1,0.7762237762237763,0.3490566037735847,0.419047619047619,0.08131868131868132,0.5228170736382699,DNAJC6,SYNJ1,DNAJC6,6,2.057142857142857,3,0.02857142857142858,0.39999999999999947,-0.002169312169312154,0.028571428571428525,0.007326007326007328,-0.0135693347834277
2,40-49,15,55,0.5238095238095238,7.333333333333333,0.673015873015873,1,0.8036951501154734,0.1781098546042002,0.5238095238095237,0.052747252747252754,0.6282174453278684,ATP13A2,ATP13A2,ATP13A2,4,1.6857142857142857,11,0.10476190476190478,1.4666666666666668,0.105079365079365,0.10476190476190472,-0.028571428571428567,0.10540037168959848
3,50-59,15,51,0.4857142857142857,6.8,0.7184126984126985,1,0.7815126050420168,0.49765258215962394,0.48571428571428565,0.05347985347985348,0.6126396655269061,VPS35,GBA,VPS35,3,1.6952380952380952,-4,-0.038095238095238126,-0.5333333333333332,0.045396825396825546,-0.03809523809523807,0.0007326007326007231,-0.01557777980096231
4,60-69,15,50,0.47619047619047616,6.666666666666667,0.6037037037037037,1,0.8205128205128205,0.6399639963996395,0.47619047619047616,0.06886446886446887,0.5556977265890309,DNAJC6,GBA,DNAJC6,5,1.8952380952380952,-1,-0.009523809523809545,-0.13333333333333286,-0.11470899470899476,-0.00952380952380949,0.015384615384615392,-0.056941938937875136
5,70-79,15,52,0.49523809523809526,6.933333333333334,0.8342857142857143,1,0.8145161290322581,0.49240780911062887,0.4952380952380952,0.059340659340659345,0.5909858448805817,VPS35,GBA,DNAJC6,4,1.7714285714285714,2,0.01904761904761909,0.2666666666666666,0.23058201058201055,0.019047619047619035,-0.009523809523809525,0.03528811829155076
