,timepoint,nodes,edges,density,avg_degree,avg_clustering,components,transitivity,assortativity,avg_degree_centrality,avg_betweenness,avg_closeness,top_node_by_degree,top_node_by_betweenness,top_node_by_closeness,diameter,avg_shortest_path_length,delta_edges,delta_density,delta_avg_degree,delta_avg_clustering,delta_avg_degree_centrality,delta_avg_betweenness,delta_avg_closeness
0,20-29,8,14,0.5,3.5,0.825,1,0.6585365853658537,-0.1541218637992831,0.49999999999999994,0.10714285714285714,0.6308275058275058,DDB2,PEBP1,DDB2,3,1.6428571428571428,0,0.0,0.0,0.0,0.0,0.0,0.0
1,30-39,8,16,0.5714285714285714,4.0,0.7083333333333334,2,0.9230769230769231,-0.37142857142857155,0.5714285714285714,0.02976190476190476,0.6247680890538033,SMARCA4,SMARCA4,SMARCA4,2,1.2380952380952381,2,0.0714285714285714,0.5,-0.11666666666666659,0.07142857142857145,-0.07738095238095238,-0.006059416773702475
2,40-49,8,15,0.5357142857142857,3.75,0.75,3,1.0,,0.5357142857142856,0.0,0.5357142857142857,PSMD14,ITPKB,PSMD14,1,1.0,-1,-0.0357142857142857,-0.25,0.04166666666666663,-0.03571428571428581,-0.02976190476190476,-0.08905380333951762
3,50-59,8,20,0.7142857142857143,5.0,0.8690476190476191,1,0.8,-0.3939393939393941,0.7142857142857142,0.04761904761904761,0.8000315656565656,EWSR1,EWSR1,EWSR1,2,1.2857142857142858,5,0.1785714285714286,1.25,0.11904761904761907,0.1785714285714286,0.04761904761904761,0.26431727994227994
4,60-69,8,19,0.6785714285714286,4.75,0.8666666666666667,1,0.8048780487804879,-0.2808988764044944,0.6785714285714285,0.05952380952380952,0.766559829059829,DDB2,DDB2,DDB2,3,1.3571428571428572,-1,-0.0357142857142857,-0.25,-0.0023809523809523725,-0.0357142857142857,0.011904761904761911,-0.033471736596736634
5,70-79,8,11,0.39285714285714285,2.75,0.4458333333333333,2,0.5357142857142857,-0.2384105960264901,0.39285714285714285,0.06547619047619047,0.5051484230055658,SMARCA4,SMARCA4,SMARCA4,3,1.5238095238095237,-8,-0.28571428571428575,-2.0,-0.4208333333333334,-0.28571428571428564,0.005952380952380945,-0.26141140605426316
