ATF7IP EWSR1 0.0 60-69
PEBP1 SMARCA4 0.00149 60-69
PEBP1 EWSR1 0.0054 60-69
SMARCA4 EWSR1 0.0 60-69
ITPKB PSMD14 0.58058 70-79
ITPKB DDB2 0.31168 70-79
ITPKB YAP1 0.14367 70-79
ITPKB ATF7IP 0.06714 70-79
ITPKB PEBP1 0.43506 70-79
ITPKB SMARCA4 0.02075 70-79
ITPKB EWSR1 0.02276 70-79
PSMD14 DDB2 0.04677 70-79
PSMD14 YAP1 0.86871 70-79
PSMD14 ATF7IP 0.06885 70-79
PSMD14 PEBP1 0.0 70-79
PSMD14 SMARCA4 0.05044 70-79
PSMD14 EWSR1 0.05508 70-79
DDB2 YAP1 0.36921 70-79
DDB2 ATF7IP 0.0 70-79
DDB2 PEBP1 0.11129 70-79
DDB2 SMARCA4 0.00074 70-79
DDB2 EWSR1 7e-05 70-79
YAP1 ATF7IP 0.28253 70-79
YAP1 PEBP1 0.70325 70-79
YAP1 SMARCA4 0.28933 70-79
YAP1 EWSR1 0.27225 70-79
ATF7IP PEBP1 0.14441 70-79
ATF7IP SMARCA4 5e-05 70-79
ATF7IP EWSR1 0.0 70-79
PEBP1 SMARCA4 0.02787 70-79
PEBP1 EWSR1 0.06923 70-79
SMARCA4 EWSR1 0.0 70-79
