GCKR GRB14 0.16873 50-59
GCKR COBLL1 0.65089 50-59
GCKR HSD17B13 1e-05 50-59
GCKR TOR1B 0.72217 50-59
GCKR SREBF1 0.03156 50-59
GCKR INSR 0.29314 50-59
GCKR TM6SF2 0.75642 50-59
GCKR MBOAT7 0.29453 50-59
GCKR PNPLA3 7e-05 50-59
GRB14 COBLL1 0.46771 50-59
GRB14 HSD17B13 0.20576 50-59
GRB14 TOR1B 0.05277 50-59
GRB14 SREBF1 0.42068 50-59
GRB14 INSR 0.56959 50-59
GRB14 TM6SF2 0.67802 50-59
GRB14 MBOAT7 0.27501 50-59
GRB14 PNPLA3 0.21322 50-59
COBLL1 HSD17B13 0.63148 50-59
COBLL1 TOR1B 0.50511 50-59
COBLL1 SREBF1 0.86389 50-59
COBLL1 INSR 0.25671 50-59
COBLL1 TM6SF2 0.23707 50-59
COBLL1 MBOAT7 0.85699 50-59
COBLL1 PNPLA3 0.62628 50-59
HSD17B13 TOR1B 0.78839 50-59
HSD17B13 SREBF1 0.0308 50-59
HSD17B13 INSR 0.25034 50-59
HSD17B13 TM6SF2 0.79178 50-59
HSD17B13 MBOAT7 0.27187 50-59
HSD17B13 PNPLA3 2e-05 50-59
TOR1B SREBF1 0.70763 50-59
TOR1B INSR 0.09625 50-59
TOR1B TM6SF2 0.40634 50-59
TOR1B MBOAT7 0.30196 50-59
TOR1B PNPLA3 0.7826 50-59
SREBF1 INSR 0.11881 50-59
SREBF1 TM6SF2 0.45148 50-59
SREBF1 MBOAT7 0.82114 50-59
SREBF1 PNPLA3 0.03705 50-59
INSR TM6SF2 0.34832 50-59
INSR MBOAT7 0.91956 50-59
INSR PNPLA3 0.25683 50-59
TM6SF2 MBOAT7 0.11967 50-59
TM6SF2 PNPLA3 0.81388 50-59
MBOAT7 PNPLA3 0.24741 50-59
GCKR GRB14 0.06683 60-69
GCKR COBLL1 0.83547 60-69
GCKR HSD17B13 0.0 60-69
GCKR TOR1B 0.83917 60-69
GCKR SREBF1 0.01733 60-69
GCKR INSR 0.61574 60-69
GCKR TM6SF2 0.86611 60-69
GCKR MBOAT7 0.34631 60-69
GCKR PNPLA3 0.00016 60-69
GRB14 COBLL1 0.88937 60-69
GRB14 HSD17B13 0.08399 60-69
GRB14 TOR1B 0.14405 60-69
GRB14 SREBF1 0.38072 60-69
GRB14 INSR 0.5315 60-69
GRB14 TM6SF2 0.73338 60-69
GRB14 MBOAT7 0.20712 60-69
GRB14 PNPLA3 0.05964 60-69
COBLL1 HSD17B13 0.89087 60-69
COBLL1 TOR1B 0.91457 60-69
COBLL1 SREBF1 0.76049 60-69
COBLL1 INSR 0.59495 60-69
COBLL1 TM6SF2 0.01833 60-69
COBLL1 MBOAT7 0.18877 60-69
COBLL1 PNPLA3 0.92222 60-69
HSD17B13 TOR1B 0.89907 60-69
HSD17B13 SREBF1 0.01331 60-69
